job_id	model_key	classifier	condition	label	precision	recall	f1	support	log
542164	roberta	prototype	B1 (raw)	negative	0.5083	0.5185	0.5134	1001	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	B1 (raw)	neutral	0.5955	0.0371	0.0698	1430	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	B1 (raw)	positive	0.3936	0.8649	0.541	1103	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D1 (debias_vl)	negative	0.5011	0.4735	0.4869	1001	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D1 (debias_vl)	neutral	0.5361	0.2392	0.3308	1430	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D1 (debias_vl)	positive	0.4349	0.7688	0.5555	1103	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D2 (CBDC)	negative	0.4086	0.5874	0.482	1001	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D2 (CBDC)	neutral	0.4738	0.442	0.4573	1430	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D2 (CBDC)	positive	0.5834	0.4025	0.4764	1103	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D2.5 (CBDC no-label-select)	negative	0.3789	0.6643	0.4826	1001	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D2.5 (CBDC no-label-select)	neutral	0.476	0.3741	0.419	1430	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D2.5 (CBDC no-label-select)	positive	0.6031	0.3581	0.4494	1103	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D3 (debias_vl->CBDC)	negative	0.4654	0.5974	0.5232	1001	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D3 (debias_vl->CBDC)	neutral	0.6324	0.0301	0.0574	1430	candidate/logs/slurm_new_542164.log
542164	roberta	prototype	D3 (debias_vl->CBDC)	positive	0.4131	0.8169	0.5487	1103	candidate/logs/slurm_new_542164.log
542190	roberta	prototype	B1 (raw)	negative	0.5083	0.5185	0.5134	1001	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	B1 (raw)	neutral	0.5955	0.0371	0.0698	1430	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	B1 (raw)	positive	0.3936	0.8649	0.541	1103	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D1 (debias_vl)	negative	0.5011	0.4735	0.4869	1001	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D1 (debias_vl)	neutral	0.5361	0.2392	0.3308	1430	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D1 (debias_vl)	positive	0.4349	0.7688	0.5555	1103	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D2 (CBDC)	negative	0.426	0.5754	0.4896	1001	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D2 (CBDC)	neutral	0.492	0.3636	0.4182	1430	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D2 (CBDC)	positive	0.5147	0.5249	0.5197	1103	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D2.5 (CBDC no-label-select)	negative	0.4002	0.7273	0.5163	1001	candidate/logs/slurm_new_542190.log
542190	roberta	prototype	D2.5 (CBDC no-label-select)	neutral	0.5171	0.1902	0.2781	1430	candidate/logs/slurm_new_542190.log
