file	model	method	dims	condition	n_samples	centroid_sep	within_spread	sep_spread_ratio
pca3d_roberta_test.csv	roberta	pca	3	D3 (debias_vl->CBDC)	3534	0.004060090774973996	0.028270487399923095	0.14361587465892225
pca_bert_large_cased_test.csv	bert_large_cased	pca	2	B1 (raw)	3534	0.005384177402495883	0.11632418547870364	0.04628596693231612
pca_bert_large_cased_test.csv	bert_large_cased	pca	2	D1 (debias_vl)	3534	0.008317024393355356	0.10145938039295782	0.08197393243624254
pca_bert_large_cased_test.csv	bert_large_cased	pca	2	D2 (CBDC)	3534	0.005394061312080899	0.1164621158104892	0.04631601679689801
pca_bert_large_cased_test.csv	bert_large_cased	pca	2	D2.5 (CBDC no-label-select)	3534	0.00523864476755848	0.12244884474768092	0.04278231271477713
pca_bert_large_cased_test.csv	bert_large_cased	pca	2	D3 (debias_vl->CBDC)	3534	0.005171040689054152	0.11533990203373089	0.04483305948657641
pca_bert_large_uncased_test.csv	bert_large_uncased	pca	2	B1 (raw)	3534	0.03644822666653769	0.21952800782166282	0.16602996140768975
pca_bert_large_uncased_test.csv	bert_large_uncased	pca	2	D1 (debias_vl)	3534	0.008722268972834886	0.058625709026488254	0.14877890805370034
pca_bert_large_uncased_test.csv	bert_large_uncased	pca	2	D2 (CBDC)	3534	0.031760987515129846	0.21138496358532963	0.15025187684321223
pca_bert_large_uncased_test.csv	bert_large_uncased	pca	2	D2.5 (CBDC no-label-select)	3534	0.030058005326830232	0.21305696046996636	0.14107966836909497
pca_bert_large_uncased_test.csv	bert_large_uncased	pca	2	D3 (debias_vl->CBDC)	3534	0.032184572447370434	0.2123973203476034	0.15153003057994366
pca_bert_test.csv	bert	pca	2	B1 (raw)	3534	0.010692457004766592	0.05442664238950756	0.19645630403296563
pca_bert_test.csv	bert	pca	2	D1 (debias_vl)	3534	0.027013129486256015	0.14869267224560673	0.18167088584995247
pca_bert_test.csv	bert	pca	2	D2 (CBDC)	3534	0.010103465659118712	0.05420820006603281	0.18638260718510014
pca_bert_test.csv	bert	pca	2	D2.5 (CBDC no-label-select)	3534	0.0087390558543393	0.051002476470071605	0.17134571611375385
pca_bert_test.csv	bert	pca	2	D3 (debias_vl->CBDC)	3534	0.010860802170742432	0.054465170447704915	0.1994082104483727
pca_bert_uncased_test.csv	bert_uncased	pca	2	B1 (raw)	3534	0.016566270725584146	0.19745733366285725	0.08389797643003596
pca_bert_uncased_test.csv	bert_uncased	pca	2	D1 (debias_vl)	3534	0.017640366795864792	0.20487870831747515	0.0861015131378596
pca_bert_uncased_test.csv	bert_uncased	pca	2	D2 (CBDC)	3534	0.014335190888147898	0.21155574031572144	0.06776082212070612
pca_bert_uncased_test.csv	bert_uncased	pca	2	D2.5 (CBDC no-label-select)	3534	0.014578253709714556	0.2112433777379691	0.06901164839258411
pca_bert_uncased_test.csv	bert_uncased	pca	2	D3 (debias_vl->CBDC)	3534	0.016890795941887242	0.20455918139853216	0.08257168329677547
pca_bertweet_test.csv	bertweet	pca	2	B1 (raw)	3534	0.006734578525931509	0.05976501067346914	0.11268430223708001
pca_bertweet_test.csv	bertweet	pca	2	D1 (debias_vl)	3534	0.015397734407750377	0.15167819819483888	0.10151580511242064
pca_bertweet_test.csv	bertweet	pca	2	D2 (CBDC)	3534	0.006121585321025927	0.055411644203966194	0.11047470994531079
pca_bertweet_test.csv	bertweet	pca	2	D2.5 (CBDC no-label-select)	3534	0.006273818600011867	0.05565405501638714	0.11272886761197477
pca_bertweet_test.csv	bertweet	pca	2	D3 (debias_vl->CBDC)	3534	0.006709356933204101	0.05829425678224027	0.11509464745844657
pca_qwen25_3b_test.csv	qwen25_3b	pca	2	B1 (raw)	3534	0.022145818385355825	0.2141566493353849	0.10340943628919905
pca_qwen25_3b_test.csv	qwen25_3b	pca	2	D1 (debias_vl)	3534	0.030927641698587693	0.3031933434860866	0.10200633477959897
pca_qwen25_3b_test.csv	qwen25_3b	pca	2	D2 (CBDC)	3534	0.019986982702392245	0.17115636994146957	0.11677615451430294
pca_qwen25_3b_test.csv	qwen25_3b	pca	2	D2.5 (CBDC no-label-select)	3534	0.019913400395689868	0.17055586845841617	0.11675587932375968
pca_qwen25_3b_test.csv	qwen25_3b	pca	2	D3 (debias_vl->CBDC)	3534	0.021321132310780897	0.20436026635133464	0.10433110453147368
pca_roberta_large_test.csv	roberta_large	pca	2	B1 (raw)	3534	0.0073267814178375355	0.11448637445806008	0.06399697302425769
pca_roberta_large_test.csv	roberta_large	pca	2	D1 (debias_vl)	3534	0.03054910486878598	0.491151982683637	0.06219888333111628
pca_roberta_large_test.csv	roberta_large	pca	2	D2 (CBDC)	3534	0.0045298151614220445	0.06562267698937196	0.06902819831863426
pca_roberta_large_test.csv	roberta_large	pca	2	D2.5 (CBDC no-label-select)	3534	0.004517514267524169	0.06552416728491761	0.06894424537866677
pca_roberta_large_test.csv	roberta_large	pca	2	D3 (debias_vl->CBDC)	3534	0.007382367718813127	0.11533635664550025	0.0640072907929951
pca_roberta_test.csv	roberta	pca	2	B1 (raw)	3534	0.003918538120495835	0.025372473396628653	0.15444052533784536
pca_roberta_test.csv	roberta	pca	2	D1 (debias_vl)	3534	0.04529963094248482	0.2893370768959125	0.1565635190224208
pca_roberta_test.csv	roberta	pca	2	D2 (CBDC)	3534	0.003636983428792553	0.023535676597308704	0.15453065110558328
pca_roberta_test.csv	roberta	pca	2	D2.5 (CBDC no-label-select)	3534	0.003603544957484408	0.02350216814331525	0.1533281923399637
pca_roberta_test.csv	roberta	pca	2	D3 (debias_vl->CBDC)	3534	0.0037943085667267056	0.024571118600111335	0.15442148273662695
tsne3d_bert_large_cased_test.csv	bert_large_cased	tsne	3	B1 (raw)	1200	2.512035048476277	27.187121284352312	0.09239797852088487
tsne3d_bert_large_cased_test.csv	bert_large_cased	tsne	3	D1 (debias_vl)	1200	2.0791963182448217	14.763624512729116	0.14083237598275072
tsne3d_bert_large_cased_test.csv	bert_large_cased	tsne	3	D2 (CBDC)	1200	3.115188291274236	27.549827360619915	0.11307469373572654
tsne3d_bert_large_cased_test.csv	bert_large_cased	tsne	3	D2.5 (CBDC no-label-select)	1200	3.8074735579585735	27.478783165371627	0.1385604862866234
tsne3d_bert_large_cased_test.csv	bert_large_cased	tsne	3	D3 (debias_vl->CBDC)	1200	4.28001075842455	26.907487977933318	0.15906392904215225
tsne3d_bert_large_uncased_test.csv	bert_large_uncased	tsne	3	B1 (raw)	1200	3.3677806615500114	26.000269097011465	0.12952868483723165
tsne3d_bert_large_uncased_test.csv	bert_large_uncased	tsne	3	D1 (debias_vl)	1200	2.4360141810585643	15.636621819408097	0.1557890322598322
tsne3d_bert_large_uncased_test.csv	bert_large_uncased	tsne	3	D2 (CBDC)	1200	3.294946673549045	26.803762510597988	0.12292851319833363
tsne3d_bert_large_uncased_test.csv	bert_large_uncased	tsne	3	D2.5 (CBDC no-label-select)	1200	3.505282473583867	26.156387523813994	0.1340124843460319
tsne3d_bert_large_uncased_test.csv	bert_large_uncased	tsne	3	D3 (debias_vl->CBDC)	1200	3.2163303607247022	26.475967183910836	0.12148112808808859
tsne3d_bert_test.csv	bert	tsne	3	B1 (raw)	1200	6.574438060180808	27.229246562885212	0.2414476671250275
tsne3d_bert_test.csv	bert	tsne	3	D1 (debias_vl)	1200	3.590855459251545	15.064587985245675	0.23836400057993257
tsne3d_bert_test.csv	bert	tsne	3	D2 (CBDC)	1200	6.674276033653551	26.890312103530192	0.24820373999219383
tsne3d_bert_test.csv	bert	tsne	3	D2.5 (CBDC no-label-select)	1200	6.36393790339022	26.69208900388918	0.2384203762569112
