section,name,model,features_or_components,method,tuned,data,n_models,epochs,val_acc,val_f1_macro,test_acc,test_f1_macro,elapsed_s
classical,LogisticRegression__tfidf_bigram_all__raw,LogisticRegression,tfidf_bigram_all,,no,raw,,,0.7046,0.7086,0.7108,0.7148,1.03
classical,MLP__tfidf_bigram_all__raw,MLP,tfidf_bigram_all,,no,raw,,,0.7206,0.7238,0.7088,0.7133,41.55
classical,LogisticRegression__tfidf_char_all__raw,LogisticRegression,tfidf_char_all,,no,raw,,,0.6941,0.6981,0.6893,0.6936,3.29
classical,LinearSVC__tfidf_bigram_all__raw,LinearSVC,tfidf_bigram_all,,no,raw,,,0.661,0.6651,0.6653,0.6697,0.82
classical,LinearSVC__tfidf_char_all__raw,LinearSVC,tfidf_char_all,,no,raw,,,0.645,0.6488,0.646,0.6505,7.9
classical,NaiveBayes(GaussianNB)__tfidf_char_all__raw,NaiveBayes(GaussianNB),tfidf_char_all,,no,raw,,,0.502,0.5017,0.5054,0.5051,55.02
classical,NaiveBayes(GaussianNB)__tfidf_bigram_all__raw,NaiveBayes(GaussianNB),tfidf_bigram_all,,no,raw,,,0.5005,0.4882,0.5014,0.4869,4.26
classical,LightGBM__tfidf_char_all__tuned,LightGBM,tfidf_char_all,,yes,cleaned,,,0.7606,0.7634,0.7484,0.7513,29423.29
classical,LightGBM__tfidf_bigram_all__tuned,LightGBM,tfidf_bigram_all,,yes,cleaned,,,0.7497,0.7519,0.74,0.7428,3077.6
transformer,bertweet_01,vinai/bertweet-base,,,,raw,,5,0.813,0.8168,0.809,0.812,261.2
transformer,bertweet_large_01,vinai/bertweet-large,,,,raw,,5,0.8057,0.8096,0.7929,0.7969,857.46
transformer,bertweet_large_v2,vinai/bertweet-large,,,,raw,,3,0.8072,0.811,0.8081,0.8118,517.78
transformer,bertweet_sent_01,finiteautomata/bertweet-base-sentiment-analysis,,,,raw,,5,0.8068,0.8104,0.8065,0.8098,254.22
transformer,deberta_v3_large_fix,microsoft/deberta-v3-large,,,,raw,,5,0.809,0.8126,0.8079,0.8109,2868.92
transformer,deberta_v3_large_v2,microsoft/deberta-v3-large,,,,raw,,3,0.8068,0.81,0.8022,0.8057,1414.24
transformer,01,cardiffnlp/twitter-roberta-base-sentiment-latest,,,,cleaned,,5,0.7992,0.8028,0.8033,0.8066,232.75
transformer,large_01,roberta-large,,,,cleaned,,5,0.8039,0.8064,0.7946,0.7976,860.59
transformer,large_raw_01,roberta-large,,,,raw,,5,0.8065,0.8099,0.8042,0.8074,858.15
transformer,raw_01,cardiffnlp/twitter-roberta-base-sentiment-latest,,,,raw,,5,0.8087,0.8124,0.8076,0.811,248.83
transformer,seed123,cardiffnlp/twitter-roberta-base-sentiment-latest,,,,raw,,5,0.797,0.8012,0.8149,0.8182,248.46
transformer,seed456,cardiffnlp/twitter-roberta-base-sentiment-latest,,,,raw,,5,0.7937,0.7966,0.7997,0.8026,252.99
transformer,weighted_01,cardiffnlp/twitter-roberta-base-sentiment-latest,,,,raw,,5,0.8061,0.8096,0.8073,0.8108,248.58
transformer,xlm_01,cardiffnlp/twitter-xlm-roberta-base,,,,raw,,5,0.8072,0.8105,0.8059,0.8083,319.72
ensemble,ens_01,,"sent-latest-raw, roberta-large",mean,,raw,2,,0.8134,0.8171,0.8124,0.8156,
ensemble,ens_3_diverse_max,,"bertweet, xlm, deberta-v3-large",mean,,raw,3,,0.8163,0.8197,0.8169,0.8195,
ensemble,ens_3_no_bert,,"sent-latest-raw, roberta-large-raw, xlm",mean,,raw,3,,0.8218,0.8252,0.8147,0.8178,
ensemble,ens_3_no_large,,"sent-latest-raw, bertweet, xlm",mean,,raw,3,,0.821,0.8245,0.8203,0.8232,
ensemble,ens_3_no_raw,,"roberta-large-raw, bertweet, xlm",mean,,raw,3,,0.8167,0.8201,0.8166,0.8193,
ensemble,ens_3_no_xlm,,"sent-latest-raw, roberta-large-raw, bertweet",mean,,raw,3,,0.8221,0.8257,0.8147,0.8179,
ensemble,ens_3model,,"sent-latest-raw, roberta-large, sent-latest",mean,,raw,3,,0.8148,0.8184,0.8195,0.8227,
ensemble,ens_4_sent_swap,,"sent-latest-raw, bertweet, xlm, bertweet-sent",mean,,raw,4,,0.8258,0.8289,0.8217,0.8248,
ensemble,ens_4model,,"sent-latest-raw, roberta-large, sent-latest, sent-latest",mean,,raw,4,,0.8319,0.8353,0.8178,0.8209,
ensemble,ens_4model_v2,,"sent-latest-raw, roberta-large-raw, bertweet, xlm",mean,,raw,4,,0.8218,0.8252,0.8203,0.8233,
ensemble,ens_5model,,"sent-latest-raw, roberta-large, sent-latest, sent-latest, sent-latest",mean,,raw,5,,0.8392,0.8425,0.8178,0.8211,
ensemble,ens_5model_deberta,,"sent-latest-raw, roberta-large-raw, bertweet, xlm, deberta-v3-large",mean,,raw,5,,0.8254,0.8286,0.8198,0.8224,
ensemble,ens_lo_bt,,"sent-latest-raw, xlm, bertweet-sent",LOO-mean,,raw,3,,0.8236,0.8266,0.8178,0.8209,
ensemble,ens_lo_sent,,"sent-latest-raw, bertweet, xlm",LOO-mean,,raw,3,,0.821,0.8245,0.8203,0.8232,
ensemble,ens_lo_tr,,"bertweet, xlm, bertweet-sent",LOO-mean,,raw,3,,0.8207,0.8239,0.8195,0.8225,
ensemble,ens_lo_xlm,,"sent-latest-raw, bertweet, bertweet-sent",LOO-mean,,raw,3,,0.8196,0.8229,0.8169,0.8202,
ensemble,ens_raw_large_bert,,"sent-latest-raw, roberta-large(cleaned_text), bertweet",mean,,mixed,3,,0.8178,0.8213,0.8195,0.8226,
ensemble,ens_raw_large_bert_v2,,"sent-latest-raw, roberta-large, bertweet",mean,,raw,3,,0.8185,0.822,0.8195,0.8226,
ensemble,ens_raw_large_weighted,,"sent-latest-raw, roberta-large(cleaned_text), sent-latest",weighted,,mixed,3,,0.8148,0.8184,0.8189,0.8223,
ensemble,ens_raw_large_weighted_v2,,"sent-latest-raw, roberta-large, sent-latest",weighted,,raw,3,,0.8148,0.8184,0.8195,0.8227,
ensemble,4model,,"sent-latest-raw, roberta-large-raw, bertweet, xlm",stacking-LR,,raw,4,,0.8207,0.824,0.8209,0.8238,
